"","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","max_biovol","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"1",2645,2645,"JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.6,26.2,28.2,10,22,29,30,7,10,14,"H15SA10",3398.664,6,10.3333333333333,27,27.2,"Northern"
"2",2646,2646,"JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",34.72,6,7,16.6666666666667,3.15,"Northern"
"3",3127,3127,"JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,19,17,7,34,32,28,37,14,12,"H15SA12",1292,7,21,31.3333333333333,18,"Northern"
"4",3128,3128,"JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,11,10,7,21,22,25,20,9,9,"H15SA14",275,7,12.6666666666667,22.6666666666667,10.5,"Northern"
"5",3148,3148,"JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",114,7,16.3333333333333,21,7.75,"Northern"
"6",2650,2650,"JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,6,8.66666666666667,12.6666666666667,6.35,"Northern"
"7",3141,3141,"JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,19,17,11,26,30,24,27,31,39,"H15SA19",1453.5,7,32.3333333333333,26.6666666666667,18,"Northern"
"8",3140,3140,"JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.9,7,6,5,24,26,16,9,3,NA,"H15SA20",121.8,7,NA,22,6.5,"Northern"
"9",3129,3129,"JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,16,19,8,25,19,52,12,5,25,"H15SA3",1368,7,14,32,17.5,"Northern"
"10",3130,3130,"JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,19,13,10,20,21,36,22,19,7,"H15SA7",988,7,16,25.6666666666667,16,"Northern"
"11",2655,2655,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,6,19,NA,10.65,"Northern"
"12",2656,2656,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,5.4,4.5,4.8,8,27,22,20,12,3,17,"H15SP1",116.64,6,10.6666666666667,23,4.65,"Northern"
"13",2657,2657,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,6.5,15,7.5,16,17,16,16,10,9,4,"H15SP10",731.25,6,7.66666666666667,16.3333333333333,11.25,"Northern"
"14",2658,2658,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,11,16,8.9,13,16,23,24,9,11,10,"H15SP13",1566.4,6,10,21,12.45,"Northern"
"15",2659,2659,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,14.5,23,21,12,25,23,24,11,13,14,"H15SP15",7003.5,6,12.6666666666667,24,22,"Northern"
"16",2662,2662,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.8,7.9,10.2,11,NA,NA,NA,6,7,NA,"H15SP19",628.524,6,NA,NA,9.05,"Northern"
"17",2904,2904,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4,7,7.5,7,13,10,15,4,5,3,"H15SP2",210,7,4,12.6666666666667,7.25,"Northern"
"18",2664,2664,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",430.65,6,8,NA,7.25,"Northern"
"19",3049,3049,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,3.5,7.5,5.3,6,17,19,20,23,10,9,"H15SP23",139.125,7,14,18.6666666666667,6.4,"Northern"
"20",2666,2666,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,11.1,9.9,4.8,6,21,17,15,4,5,5,"H15SP24",527.472,6,4.66666666666667,17.6666666666667,7.35,"Northern"
"21",3106,3106,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",1260,7,15.3333333333333,20,12,"Northern"
"22",2668,2668,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.9,18.4,15.7,16,23,21,20,9,13,12,"H15SP27",2282.152,6,11.3333333333333,21.3333333333333,17.05,"Northern"
"23",2669,2669,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,5.6,4.3,4.3,8,24,22,NA,6,3,NA,"H15SP29",103.544,6,NA,NA,4.3,"Northern"
"24",2905,2905,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,7,18,14,12,21,19,26,11,12,12,"H15SP5",1764,7,11.6666666666667,22,16,"Northern"
"25",2671,2671,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,6,8,NA,4.6,"Northern"
"26",2907,2907,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,7.9,14.5,12,9,21,15,19,13,14,12,"H15SP8",1374.6,7,13,18.3333333333333,13.25,"Northern"
"27",2996,2996,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,10,14,12,9,21,17,13,5,6,13,"H15SP9",1680,7,8,17,13,"Northern"
"28",2674,2674,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,7.5,12,9.4,9,18,21,19,17,21,10,"H15SR19",846,6,16,19.3333333333333,10.7,"Northern"
"29",2675,2675,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5,6.6,4,12,18,16,NA,10,9,NA,"H15SR20",132,6,NA,NA,5.3,"Northern"
"30",3099,3099,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",374.4,7,15.6666666666667,22.3333333333333,7.75,"Northern"
"31",2939,2939,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",4284,7,NA,22.3333333333333,15.5,"Northern"
"32",3030,3030,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,5,19.6666666666667,36.6666666666667,17.25,"Northern"
"33",3090,3090,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9,10,7,35,32,23,9,12,NA,"H17SA12",180,5,NA,30,9.5,"Northern"
"34",3092,3092,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,5,21.6666666666667,34.3333333333333,16.25,"Northern"
"35",3144,3144,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3,18,11.5,10,23,30,30,9,35,24,"H17SA17",621,5,22.6666666666667,27.6666666666667,14.75,"Northern"
"36",3146,3146,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,5,31.3333333333333,39,36,"Northern"
"37",2683,2683,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4376.75,4,16,36.3333333333333,32.75,"Northern"
"38",3027,3027,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,26,23,9,49,64,66,93,33,25,"H17SA6",2990,5,50.3333333333333,59.6666666666667,24.5,"Northern"
"39",2685,2685,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,4,7,23.6666666666667,14.5,"Northern"
"40",2686,2686,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,7.8,15,20.5,6,33,35,28,6,7,5,"H17SA9",2398.5,4,6,32,17.75,"Northern"
"41",2687,2687,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.2,11.9,11.9,10,14,16,17,24,19,14,"H17SP10",1161.202,4,19,15.6666666666667,11.9,"Northern"
"42",3118,3118,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,5,15.5,14,7,15,16,17,9,4,5,"H17SP12",1085,5,6,16,14.75,"Northern"
"43",3116,3116,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,11,12.5,12,8,19,20,22,37,18,26,"H17SP13",1650,5,27,20.3333333333333,12.25,"Northern"
"44",2690,2690,"AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.1,5.8,6.1,9,19,23,28,7,16,12,"H17SP14",251.198,4,11.6666666666667,23.3333333333333,5.95,"Northern"
"45",2691,2691,"AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.4,6.6,3.9,9,11,14,19,8,7,12,"H17SP15",216.216,4,9,14.6666666666667,5.25,"Northern"
"46",3113,3113,"AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,11,9.9,9,20,19,23,11,18,18,"H17SP18",490.05,5,15.6666666666667,20.6666666666667,10.45,"Northern"
"47",2923,2923,"IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6.5,5,6.5,11,20,16,21,11,5,4,"H17SP3",211.25,5,6.66666666666667,19,5.75,"Northern"
"48",2924,2924,"IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4,4.5,9,9,19,21,15,12,3,NA,"H17SP6",162,5,NA,18.3333333333333,6.75,"Northern"
"49",2695,2695,"IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,3.6,4.3,1.2,7,16,17,17,16,13,6,"H17SP7",18.576,4,11.6666666666667,16.6666666666667,2.75,"Northern"
"50",2696,2696,"CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,16.5,12.5,7.5,9,25,22,21,9,10,18,"H17SP9",1546.875,4,12.3333333333333,22.6666666666667,10,"Northern"
"51",2697,2697,"LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,10.6,11.5,8.5,11,25,26,28,7,10,4,"H17SR1",1036.15,4,7,26.3333333333333,10,"Northern"
"52",2966,2966,"GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,10,24,25,13,22,20,20,30,24,20,"H17SR10",6000,5,24.6666666666667,20.6666666666667,24.5,"Northern"
"53",2970,2970,"GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,11,9,12,21,26,16,37,41,19,"H17SR12",594,5,32.3333333333333,21,10,"Northern"
"54",2700,2700,"GD","H17Sr13",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,13.5,17,13.5,14,34,29,29,19,20,37,"H17SR13",3098.25,4,25.3333333333333,30.6666666666667,15.25,"Northern"
"55",2971,2971,"GD","H17Sr15",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9,17,14,12,20,17,21,3,2,NA,"H17SR15",2142,5,NA,19.3333333333333,15.5,"Northern"
"56",3078,3078,"IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,8,12,17.1,12,25,21,22,5,17,NA,"H17SR18",1641.6,5,NA,22.6666666666667,14.55,"Northern"
"57",3079,3079,"IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,5.5,11.5,7.4,11,17,15,18,12,33,20,"H17SR19",468.05,5,21.6666666666667,16.6666666666667,9.45,"Northern"
"58",3103,3103,"AC","H17Sr24",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9.5,14,11,12,36,32,31,60,16,21,"H17SR24",1463,5,32.3333333333333,33,12.5,"Northern"
"59",2705,2705,"AC","H17Sr25",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,2,3.6,1.5,9,19,20,NA,3,NA,NA,"H17SR25",10.8,4,NA,NA,2.55,"Northern"
"60",3150,3150,"EW","H17Sr30",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,14,27,22,18,38,32,28,24,25,13,"H17SR30",8316,5,20.6666666666667,32.6666666666667,24.5,"Northern"
"61",3155,3155,"EW","H17Sr35",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,19,23,24,16,27,26,28,36,35,25,"H17SR35",10488,5,32,27,23.5,"Northern"
"62",2709,2709,"EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5.9,8.4,6.8,8,23,18,20,6,10,9,"H17SR37",337.008,4,8.33333333333333,20.3333333333333,7.6,"Northern"
"63",2946,2946,"LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,5.5,16,6,13,22,19,28,9,7,7,"H17SR4",528,5,7.66666666666667,23,11,"Northern"
"64",2711,2711,"LB","H17Sr5",2017,"Salix richardsonii","Qikiqtaruk","2021-08-06",8,6,2021,15,10,8,12,38,35,33,6,8,14,"H17SR5",1200,4,9.33333333333333,35.3333333333333,9,"Northern"
"65",2968,2968,"GD","H17Sr7",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9,12,15,8,24,25,26,27,32,24,"H17SR7",1620,5,27.6666666666667,25,13.5,"Northern"
"66",2967,2967,"GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18.5,32,35,11,20,19,23,15,28,56,"H17SR9",20720,5,33,20.6666666666667,33.5,"Northern"
"67",3094,3094,"SAB","H18Sa1",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,9.5,7.5,9,25,35,27,12,11,7,"H18SA1",285,4,10,29,8.5,"Northern"
"68",3095,3095,"SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,14.5,13.5,8,30,39,22,18,16,12,"H18SA8",978.75,4,15.3333333333333,30.3333333333333,14,"Northern"
"69",2932,2932,"IMS","H18Sp1",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,5,3.2,5,22,11,14,7,8,3,"H18SP1",72,4,6,15.6666666666667,4.1,"Northern"
"70",2959,2959,"SL","H18Sp11",2018,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,8.5,8,12,8.5,25,18,22,12,15,11,"H18SP11",816,4,12.6666666666667,21.6666666666667,10,"Northern"
"71",2721,2721,"SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,9.2,9.5,5.5,7,25,20,22,7,16,10,"H18SP15",480.7,3,11,22.3333333333333,7.5,"Northern"
"72",3046,3046,"JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,7,6.5,4,31,14,24,10,7,NA,"H18SP16",409.5,4,NA,23,6.75,"Northern"
"73",2723,2723,"JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,3.7,5.6,3.5,5,21,23,25,7,6,7,"H18SP18",72.52,3,6.66666666666667,23,4.55,"Northern"
"74",2726,2726,"MG","H18Sp24",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,2.7,3.6,2.4,3,NA,NA,NA,4,6,5,"H18SP24",23.328,3,5,NA,3,"Northern"
"75",2929,2929,"IMS","H18Sp4",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,3.5,3,3.5,4,16,17,14,2,NA,NA,"H18SP4",36.75,4,NA,15.6666666666667,3.25,"Northern"
"76",2730,2730,"IMS","H18Sp5",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,13.6,10.6,2.4,5,NA,NA,NA,9,8,17,"H18SP5",345.984,3,11.3333333333333,NA,6.5,"Northern"
"77",2731,2731,"CF","H18Sp8",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,1.5,3,0.9,2,15,19,NA,5,NA,NA,"H18SP8",4.05,3,NA,NA,1.95,"Northern"
"78",2732,2732,"CF","H18Sp9",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.5,5,8.5,4,NA,12,9,2.5,4,10,"H18SP9",318.75,3,5.5,NA,6.75,"Northern"
"79",2976,2976,"GD","H18Sr10",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,14,9,10,20,24,13,NA,NA,NA,"H18SR10",756,4,NA,19,11.5,"Northern"
"80",2950,2950,"LB","H18Sr2",2018,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,5.1,8.4,6.9,8,20,18,21,25,11,15,"H18SR2",295.596,4,17,19.6666666666667,7.65,"Northern"
"81",2738,2738,"EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.5,14.2,11.1,6,32,34,31,37,34,38,"H18SR27",2443.11,3,36.3333333333333,32.3333333333333,12.65,"Northern"
"82",3164,3164,"EW","H18Sr29",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,3,13,8,6,19,22,25,5,4,3,"H18SR29",312,4,4,22,10.5,"Northern"
"83",2740,2740,"EW","H18Sr30",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.8,17.2,9.5,13,26,29,26,34,27,29,"H18SR30",2581.72,3,30,27,13.35,"Northern"
"84",2741,2741,"GD","H18Sr6",2018,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,2.8,4.8,3.5,9,15,14,14,5,7,8,"H18SR6",47.04,3,6.66666666666667,14.3333333333333,4.15,"Northern"
"85",2977,2977,"GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,4.5,13,13,6,21,22,20,18,20,8,"H18SR8",760.5,4,15.3333333333333,21,13,"Northern"
"86",3085,3085,"SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,16.5,19,10,19,21,21,9,8,24,"HE16SA14",1567.5,6,13.6666666666667,20.3333333333333,17.75,"Northern"
"87",3016,3016,"JA","HE16Sa3",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,14.5,14,9,35,27,30,51,35,31,"HE16SA3",812,6,39,30.6666666666667,14.25,"Northern"
"88",3086,3086,"SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,8.5,7.5,6,20,25,22,5,8,4,"HE16SA6",159.375,6,5.66666666666667,22.3333333333333,8,"Northern"
"89",3087,3087,"SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3.5,20,14,10,35,26,29,16,16,25,"HE16SA7",980,6,19,30,17,"Northern"
"90",2951,2951,"SL","HE16Sp15",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,16.5,11.5,8,25,20,24,11,10,17,"HE16SP15",1138.5,6,12.6666666666667,23,14,"Northern"
"91",3034,3034,"JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,11,15.5,9,19,26,22,18,27,15,"HE16SP17",1023,6,20,22.3333333333333,13.25,"Northern"
"92",3051,3051,"MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,18,27,25,13,31,28,22,16,12,29,"HESP11",12150,9,19,27,26,"Northern"
"93",3052,3052,"MG","HESp12",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,20,32,27,13,30,22,23,10,6,20,"HESP12",17280,9,12,25,29.5,"Northern"
"94",2752,2752,"MG","HESp14",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,4,9.6,8.5,10,24,29,26,6,11,14,"HESP14",326.4,8,10.3333333333333,26.3333333333333,9.05,"Northern"
"95",2753,2753,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,12.5,9.5,7.6,7,17,13,14,3,4,4,"HESP17",902.5,8,3.66666666666667,14.6666666666667,8.55,"Northern"
"96",2912,2912,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,2.5,9,9.5,10,26,19,25,20,21,NA,"HESP2",213.75,9,NA,23.3333333333333,9.25,"Northern"
"97",2755,2755,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,5.5,9.2,7.7,12,16,12,NA,5,4,11,"HESP20",389.62,8,6.66666666666667,NA,8.45,"Northern"
"98",2756,2756,"IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,19,25,15.6,9,23,24,25,23,15,22,"HESP24",7410,8,20,24,20.3,"Northern"
"99",3110,3110,"AB","HESp29",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,12,19,16,18,20,26,21,18,17,19,"HESP29",3648,9,18,22.3333333333333,17.5,"Northern"
"100",2758,2758,"IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,15.5,38,22,15,20,26,27,12,36,19,"HESP3",12958,8,22.3333333333333,24.3333333333333,30,"Northern"
"101",2760,2760,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,10,15,10.5,10,15,13,17,9,10,12,"HESP4",1575,8,10.3333333333333,15,12.75,"Northern"
"102",2761,2761,"SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,11,5.5,6,14,NA,NA,NA,10,40,NA,"HESR13",363,8,NA,NA,5.75,"Northern"
"103",2937,2937,"LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,12,23,12,15,17,23,25,29,15,23,"HESR2",3312,9,22.3333333333333,21.6666666666667,17.5,"Northern"
"104",3100,3100,"AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,7,8,8.5,5,19,17,25,15,13,24,"HESR23",476,9,17.3333333333333,20.3333333333333,8.25,"Northern"
"105",2764,2764,"AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,10.1,4,3.8,8,NA,NA,NA,17,11,7,"HESR26",153.52,8,11.6666666666667,NA,3.9,"Northern"
"106",2936,2936,"LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,15,21,22,10,21,13,29,17,12,12,"HESR3",6930,9,13.6666666666667,21,21.5,"Northern"
"107",2766,2766,"LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","2021-08-06",8,6,2021,8.2,17.5,16,15,27,25,29,24,20,12,"HESR4",2296,8,18.6666666666667,27,16.75,"Northern"
"108",2981,2981,"SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,11.5,20,14,25,25,21,21,22,10,15,"HESR7",3220,9,15.6666666666667,22.3333333333333,17,"Northern"
"109",2982,2982,"SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,12,24,19,23,23,20,20,18,8,6,"HESR8",5472,9,10.6666666666667,21,21.5,"Northern"
"110",3132,3132,"JB","K15PSa10",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,4,16,11,6,22,23,36,7,3,6,"K15PSA10",704,7,5.33333333333333,27,13.5,"Southern"
"111",3133,3133,"JB","K15PSa11",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,8,32,21,12,55,58,49,32,39,46,"K15PSA11",5376,7,39,54,26.5,"Southern"
"112",3134,3134,"JB","K15PSa12",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,7,29,27,13,46,39,34,19,9,18,"K15PSA12",5481,7,15.3333333333333,39.6666666666667,28,"Southern"
"113",3143,3143,"JB","K15PSa15",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,15.2,17,21,12,40,33,37,20,16,20,"K15PSA15",5426.4,7,18.6666666666667,36.6666666666667,19,"Southern"
"114",3135,3135,"JB","K15PSa2",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,4,23,19,12,37,41,38,28,30,15,"K15PSA2",1748,7,24.3333333333333,38.6666666666667,21,"Southern"
"115",3136,3136,"JB","K15PSa6",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,7.9,32.5,28,9,44,53,42,30,20,22,"K15PSA6",7189,7,24,46.3333333333333,30.25,"Southern"
"116",3137,3137,"JB","K15PSa7",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,6,49,48,20,49,56,40,21,17,21,"K15PSA7",14112,7,19.6666666666667,48.3333333333333,48.5,"Southern"
