PLOT,Year,Observer,Viewshed,NOTES,Plants first visible through snow,Snow Free Melt Date (>90% plot free of snow),First 100% snow-free day,First signs of greening,First snow return day - end of season,50% snow coverge - end of season,100% snow coverage - end of season,First leaf bud burst,50% Leaves Green,100% Leaves Green,First leaf yellow,50% Leaves Yellow,100% Leaves Yellow,Salix pulchra First Leaf Bud Burst,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix pulchra First Yellowing of Leaves,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix pulchra Last Leaf Turns Yellow,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Male Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Female Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Apperance of White Colour on Buds,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Open Flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas Last Petal Shed,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First twisting of filaments on seed heads,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First 'floofing' of plume,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident","% Cover of Dryas in plot, to nearest 10%","Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Flowers (15th July),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Eriophorum appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Mature eriophorum flower heads (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Lupine flowers (15th July OR nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Pedicularis flowers (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii First Leaf Bud Burst,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii First Yellowing of Leaves,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii Last Leaf Turns Yellow,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Male Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Female Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident"
KP1-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois",Blocked by snow until June 1st. Shows only ground until June 22. Then 3/4 of image is the plateau and the top 1/4 is the valley in the distance.,Frame very crooked until June 22. Pictures end August 15th so no info on snow at end of season,June 2,June 18,June 23,June 22 (green lower on the plateau in the distance),,,,June 22,June 27,July 7,August 13,NA,NA,June 23,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 2,,July 4,,,,,,,,,,,
KP2-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois","Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Did not record Nov. 13 2021 to June 22 2022, so snowmelt data NA.",NA,NA,NA,NA (First picture on June 22 already shows much green),,,,NA,June 23,July 5,August 14,NA,NA,June 22,,Aug 14,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP7-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois","Only shows snow (and sometimes a branch) until June 1. Then, shows ground with the bottom of a shrub at the top of the image.",,June 2,June 15,June 16,June 21 (buds),,,,June 21,June 26,July 8,August 2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 19,,Aug 12,,,,,,,
KP3-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois",Blocked by snow until June 3rd. Image mostly shows plateau ground with a thin strip of mountainous landscape at the top.,,June 5,June 21,NA,June 24 (green on bushes in foreground),,,,June 24,June 28,July 8,July 30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 23,,July 27,,NA,,,,,
KP5-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois","Blocked by snow until June 12. Camera pointed directly towards ground. Moved further away from ground on June 22; still only shows ground, just less close up.",,June 14,June 17,June 18,June 19 (green blades of grass),,,,June 19,June 27,July 9,August 2,August 15,NA,June 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP9-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois",Only snow visible Oct 31-Jun 12. Camera pointed towards grounds.,,June 13,June 18,June 19,June 22 (green blades of grass),,,,June 22,June 27,July 5,Aug 10,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 24,,NA,,NA,,,,,
KP4-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois","Blocked by snow until Jan. 22, then again 21-27 March and 9 April-2 June. Shows mostly plateau ground between these dates. 3-7 June, shows 1/3 plateau ground, 1/3 mountains in distance, 1/3 sky. Pointed directly at plateau ground 8-26 June.",Frame very askew 8-26 June,June 11,June 19,21 June,"June 24 (grass starting to green, one bud in foreground)",,,,June 24,June 28,July 3,August 15,NA,NA,June 24,,Aug 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP6-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois","Blocked by snow until Jan. 22, then again 21 March to 7 June. Bottom half is plateau and Salix sp. Shrub, top half is lake/mountain/sky",Knocked askew sometime between March 21 and June 7,June 8,June 26,NA,June 26 (buds),,,,June 26,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 25,,NA,,NA,,,,,
KP8-2021,2022,"Clara Surprenant until end of June 2022, then Erica Zaja, then Elise Gallois",Facing towards the ground,,June 12,June 21,June 22,June 17 (blades of green grass),,,,June 17,June 26,July 7,August 15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
