"","Species","SampleID","Latitude","Longitude","Elevation","SampleDate","Site","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","Stem_diameter_2","Stem_diameter_3","2022 Notes"
"1","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-08-01 00:00:00,"Kluane",203,309,257,40,50,150,64,66,50,200,NA,NA,NA
"2","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-08-01 00:00:00,"Kluane",160,195,152,180,140,160,54,76,70,45,NA,NA,NA
"3","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-08-01 00:00:00,"Kluane",164,129,201,120,195,200,52,45,51,40,NA,NA,NA
"4","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-08-01 00:00:00,"Kluane",162,213,150,200,165,145,61,70,48,45,NA,NA,NA
"5","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-08-01 00:00:00,"Kluane",190,273,279,165,150,160,67,55,68,37,NA,NA,NA
"6","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-08-01 00:00:00,"Kluane",182,180,195,100,140,130,74,79,68,56,NA,NA,NA
"7","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-08-01 00:00:00,"Kluane",82,115,123,160,130,60,52,65,65,20,NA,NA,NA
"8","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-08-01 00:00:00,"Kluane",120,154,177,250,240,145,51,44,53,44,NA,NA,NA
"9","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-08-01 00:00:00,"Kluane",159,195,167,100,155,145,70,67,60,50,NA,NA,NA
"10","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-08-01 00:00:00,"Kluane",70.5,98,99,110,70,60,54,55,49,23,NA,NA,NA
"11","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-08-01 00:00:00,"Kluane",126,159,116,100,105,200,47,45,40,43,NA,NA,NA
"12","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-08-01 00:00:00,"Kluane",130,180,102,190,100,60,46,63,49,40,NA,NA,NA
"13","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-08-01 00:00:00,"Kluane",147,180,153,170,90,135,50,55,52,77,NA,NA,NA
"14","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-08-01 00:00:00,"Kluane",140.5,136,160,170,120,110,49,50,55,54,NA,NA,NA
"15","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-08-01 00:00:00,"Kluane",159.5,178,192,270,160,190,55,56,55,43,NA,NA,NA
"16","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-08-01 00:00:00,"Kluane",151,226,248,230,160,235,61,45,52,143,NA,NA,NA
"17","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-08-01 00:00:00,"Kluane",158,176,175,71,150,165,57,62,46,53,NA,NA,NA
"18","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-08-01 00:00:00,"Kluane",172,222,255,60,75,150,57,53,55,38,NA,NA,NA
"19","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-08-01 00:00:00,"Kluane",84,71,74,35,50,25,43,39,33,26,NA,NA,NA
"20","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-08-01 00:00:00,"Kluane",120,155,225,125,250,230,46,52,55,35,NA,NA,NA
"21","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-08-01 00:00:00,"Kluane",5.1,NA,NA,19,31,13,34,40,30,4,4,6,NA
"22","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-08-01 00:00:00,"Kluane",11,NA,NA,27,19,15,38,42,45,3,6,5,NA
"23","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-08-01 00:00:00,"Kluane",5.1,NA,NA,23,21,15,40,33,25,8,3,2,NA
"24","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-08-01 00:00:00,"Kluane",6.9,NA,NA,36,21,35,27,25,39,4,3,3,NA
"25","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-08-01 00:00:00,"Kluane",5.4,NA,NA,25,18,20,31,33,31,3,3,4,NA
"26","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-08-01 00:00:00,"Kluane",8.5,NA,NA,27,34,18,44,37,34,4,3,4,NA
"27","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-08-01 00:00:00,"Kluane",6,NA,NA,15,13,9,41,42,43,5,8,3,NA
"28","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-08-01 00:00:00,"Kluane",5,NA,NA,5,6,7,25,19,29,4,4,3,NA
"29","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-08-01 00:00:00,"Kluane",4,NA,NA,24,6,15,35,35,32,5,4,3,NA
"30","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-08-01 00:00:00,"Kluane",6,NA,NA,15,14,12,27,39,42,4,5,3,NA
"31","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-09 00:00:00,"Kluane",150,303,240,180,60,140,59,42,58,250,NA,NA,"pulchra yellow tape"
"32","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-09 00:00:00,"Kluane",141,102,107,120,150,220,61,71,67,42,NA,NA,"15 shrubs above phenocams and 15 shrubs at phenocams (KP9,KP5,KP3). KP3: 1544.61121, KP5: 1548.37317, KP9: 1548.13977."
"33","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-09 00:00:00,"Kluane",130,180,120,200,120,150,47,42,52,50,NA,NA,NA
"34","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-09 00:00:00,"Kluane",155,165,120,55,105,85,53,80,62,45,NA,NA,NA
"35","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-09 00:00:00,"Kluane",185,260,255,32,67,90,72,60,65,41,NA,NA,NA
"36","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-09 00:00:00,"Kluane",164,210,165,140,85,130,67,58,66,50,NA,NA,NA
"37","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-09 00:00:00,"Kluane",79,122,76,115,70,25,52,61,56,23,NA,NA,NA
"38","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-09 00:00:00,"Kluane",114,192,158,40,35,110,50,55,44,37,NA,NA,NA
"39","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-09 00:00:00,"Kluane",160,220,132,120,130,150,72,68,60,57,NA,NA,NA
"40","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-09 00:00:00,"Kluane",69,101,107,50,20,25,41,47,48,12,NA,NA,NA
"41","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-09 00:00:00,"Kluane",108,143,102.5,65,50,110,52,46,47,43,NA,NA,"richardsonii green tape"
"42","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-09 00:00:00,"Kluane",91,199,154,60,52,160,64,52,51,36,NA,NA,NA
"43","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-09 00:00:00,"Kluane",136,217,149,60,90,80,49,48,36,91,NA,NA,NA
"44","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-09 00:00:00,"Kluane",110,133,150,160,115,90,52,48,57,57,NA,NA,NA
"45","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-09 00:00:00,"Kluane",53,170,172,13,24,114,40,51,32,55,NA,NA,NA
"46","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-09 00:00:00,"Kluane",125,250,220,140,50,110,60,55,57,61,NA,NA,NA
"47","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-09 00:00:00,"Kluane",143,176,136,180,170,90,66,56,42,40,NA,NA,NA
"48","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-09 00:00:00,"Kluane",134,262,243,45,55,60,63,50,54,47,NA,NA,NA
"49","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-09 00:00:00,"Kluane",76,63,61,65,20,45,43,30,40,30,NA,NA,NA
"50","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-09 00:00:00,"Kluane",95,188,149,100,190,90,55,46,55,31,NA,NA,NA
"51","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-07-09 00:00:00,"Kluane",5.5,NA,NA,37,34,32,44,27,45,4,3,3,"taking height of highest arctica leaf within plot"
"52","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-07-09 00:00:00,"Kluane",6.5,NA,NA,35,35,39,52,44,30,4,5,4,"taking 3 stem diameters from different individuals in the plot. To average them later"
"53","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-07-09 00:00:00,"Kluane",6.4,NA,NA,33,26,20,26,34,25,2,5,4,"cannot take plant width because measuring from a plot"
"54","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-07-09 00:00:00,"Kluane",7,NA,NA,23,35,42,36,37,28,3,5,3,"arctica on 20x20cm plots signlled using flags"
"55","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-07-09 00:00:00,"Kluane",5,NA,NA,36,15,30,26,38,31,3,5,5,NA
"56","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-07-09 00:00:00,"Kluane",7,NA,NA,26,33,30,40,51,36,5,4,5,NA
"57","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-07-09 00:00:00,"Kluane",4,NA,NA,12,23,24,32,45,34,4,3,4,NA
"58","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-07-09 00:00:00,"Kluane",6.5,NA,NA,32,25,22,31,24,25,4,5,3,NA
"59","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-07-09 00:00:00,"Kluane",7.5,NA,NA,21,22,11,25,27,37,4,3,4,NA
"60","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-07-09 00:00:00,"Kluane",5,NA,NA,17,26,21,42,43,33,3,4,3,NA
"61","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-08-13 00:00:00,"Kluane",200,207,274,70,130,160,53,37,53,203,NA,NA,NA
"62","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-08-13 00:00:00,"Kluane",160,116,114,200,160,180,66,57,73,45,NA,NA,NA
"63","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-08-13 00:00:00,"Kluane",165,169,135,100,110,155,36,64,57,37,NA,NA,NA
"64","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-08-13 00:00:00,"Kluane",190,200,195,109,150,160,71,73,61,45,NA,NA,NA
"65","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-08-13 00:00:00,"Kluane",180,112,292,75,108,106,67,52,57,45,NA,NA,NA
"66","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-08-13 00:00:00,"Kluane",180,210,160,190,200,200,58,53,68,48,NA,NA,NA
"67","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-08-13 00:00:00,"Kluane",85,130,131,160,170,55,51,49,60,17,NA,NA,NA
"68","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-08-13 00:00:00,"Kluane",120,197,170,130,150,100,40,50,51,36,NA,NA,NA
"69","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-08-13 00:00:00,"Kluane",165,170,214,180,95,190,59,40,64,51,NA,NA,NA
"70","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-08-13 00:00:00,"Kluane",70,99,100,65,80,100,42,36,47,15,NA,NA,NA
"71","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-08-13 00:00:00,"Kluane",130,161,140,95,65,130,52,47,54,43,NA,NA,NA
"72","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-08-13 00:00:00,"Kluane",137,124,120,110,90,130,51,59,45,51,NA,NA,NA
"73","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-08-13 00:00:00,"Kluane",150,186,160,260,110,170,56,48,53,86,NA,NA,NA
"74","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-08-13 00:00:00,"Kluane",150,180,137,165,150,160,53,47,40,55,NA,NA,NA
"75","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-08-13 00:00:00,"Kluane",63,180,185,106,102,200,52,56,51,43,NA,NA,NA
"76","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-08-13 00:00:00,"Kluane",160,259,220,230,170,240,53,57,55,154,NA,NA,NA
"77","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-08-13 00:00:00,"Kluane",170,174,158,150,170,140,57,48,51,35,NA,NA,NA
"78","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-08-13 00:00:00,"Kluane",165,245,235,40,65,130,50,65,52,49,NA,NA,NA
"79","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-08-13 00:00:00,"Kluane",87,75,70,69,35,33,40,37,36,27,NA,NA,NA
"80","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-08-13 00:00:00,"Kluane",129,192,163,90,100,140,66,45,62,36,NA,NA,NA
"81","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-08-13 00:00:00,"Kluane",7,NA,NA,28,21,15,37,34,48,8,5,4,NA
"82","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-08-13 00:00:00,"Kluane",8.5,NA,NA,7,29,18,43,46,41,5,3,4,NA
"83","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-08-13 00:00:00,"Kluane",4,NA,NA,15,19,29,27,39,36,6,3,2,NA
"84","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-08-13 00:00:00,"Kluane",7.5,NA,NA,31,22,11,31,35,41,4,3,2,NA
"85","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-08-13 00:00:00,"Kluane",4.5,NA,NA,12,30,20,31,33,28,3,3,6,NA
"86","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-08-13 00:00:00,"Kluane",6.6,NA,NA,33,20,15,28,41,45,3,5,3,NA
"87","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-08-13 00:00:00,"Kluane",7,NA,NA,28,22,31,34,36,33,3,5,3,NA
"88","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-08-13 00:00:00,"Kluane",5.5,NA,NA,25,19,9,29,25,23,6,4,5,NA
"89","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-08-13 00:00:00,"Kluane",8,NA,NA,6,19,4,30,29,27,7,5,6,NA
"90","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-08-13 00:00:00,"Kluane",6,NA,NA,25,12,16,41,43,39,7,5,3,NA
"91","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-16 01:00:00,"Kluane",195,285,168,47,23,44,74,54,57,122,NA,NA,NA
"92","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-16 01:00:00,"Kluane",152,118,98,132,111,124,77,70,55,43,NA,NA,NA
"93","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-16 01:00:00,"Kluane",155,125,220,66,104,160,50,48,46,41,NA,NA,NA
"94","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-16 01:00:00,"Kluane",174,179,130,86,106,85,58,62,45,46,NA,NA,NA
"95","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-16 01:00:00,"Kluane",176,286,255,102,76,107,58,53,65,48,NA,NA,NA
"96","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-16 01:00:00,"Kluane",177,153,190,95,70,77,63,47,63,52,NA,NA,NA
"97","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-16 01:00:00,"Kluane",83,99,123,33,105,104,55,62,55,20,NA,NA,NA
"98","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-16 01:00:00,"Kluane",123,167,175,50,28,57,51,40,43,34,NA,NA,NA
"99","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-16 01:00:00,"Kluane",157,203,145,55,124,141,68,62,67,56,NA,NA,NA
"100","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-16 01:00:00,"Kluane",66,96,107,34,35,19,49,60,48,16,NA,NA,NA
"101","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-16 01:00:00,"Kluane",143,154,109,46,54,86,44,55,48,52,NA,NA,NA
"102","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-16 01:00:00,"Kluane",125.5,110,164,51,82,75,38,61,49,40,NA,NA,NA
"103","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-16 01:00:00,"Kluane",145,200,154,75,60,46,53,45,53,65,NA,NA,NA
"104","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-16 01:00:00,"Kluane",140,139,144,108,160,155,43,41,38,57,NA,NA,NA
"105","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-16 01:00:00,"Kluane",155.2,171,184,80,137,170,55,50,48,46,NA,NA,NA
"106","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-16 01:00:00,"Kluane",132,236,242,120,138,160,51,56,38,67,NA,NA,NA
"107","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-16 01:00:00,"Kluane",159,163,173,141,124,75,43,53,55,46,NA,NA,NA
"108","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-16 01:00:00,"Kluane",171,245,221,80,45,100,45,48,58,46,NA,NA,NA
"109","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-16 01:00:00,"Kluane",84.5,81,73,37,47,31,42,44,37,24,NA,NA,NA
"110","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-16 01:00:00,"Kluane",113,210,147,94,136,95,52,56,53,33,NA,NA,NA
"111","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-07-16 01:00:00,"Kluane",6.1,NA,NA,16,34,27,45,27,35,2,3,5,NA
"112","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,32,33,36,52,37,45,4,3,5,NA
"113","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-07-16 01:00:00,"Kluane",6.5,NA,NA,24,36,24,35,22,25,5,4,2,NA
"114","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-07-16 01:00:00,"Kluane",6.7,NA,NA,35,23,35,35,36,27,3,4,4,NA
"115","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-07-16 01:00:00,"Kluane",6.1,NA,NA,40,28,36,31,21,39,6,5,4,NA
"116","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,25,30,40,31,49,45,3,4,3,NA
"117","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-07-16 01:00:00,"Kluane",5.6,NA,NA,28,20,25,29,38,42,3,3,2,NA
"118","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-07-16 01:00:00,"Kluane",4.5,NA,NA,20,10,28,26,31,34,4,3,4,NA
"119","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,35,18,24,38,28,25,4,3,2,NA
"120","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,12,17,22,44,39,25,3,3,4,NA
"121","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-24 01:00:00,"Kluane",204,315,210,105,150,135,59,74,81,210,NA,NA,NA
"122","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-24 01:00:00,"Kluane",159,111,112,165,150,120,53,47,75,51,NA,NA,NA
"123","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-24 01:00:00,"Kluane",150,220,198,180,140,160,51,49,61,42,NA,NA,NA
"124","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-24 01:00:00,"Kluane",183,220,180,170,165,180,61,70,71,41,NA,NA,NA
"125","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-24 01:00:00,"Kluane",175,262,282,110,140,130,60,42,56,49,NA,NA,NA
"126","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-24 01:00:00,"Kluane",181,160,218,120,95,110,66,59,55,44,NA,NA,NA
"127","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-24 01:00:00,"Kluane",83,125,105,135,160,60,58,71,56,25,NA,NA,NA
"128","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-24 01:00:00,"Kluane",132,184,193,240,200,100,52,49,45,35,NA,NA,NA
"129","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-24 01:00:00,"Kluane",169,212,180,200,180,160,73,54,66,82,NA,NA,NA
"130","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-24 01:00:00,"Kluane",67,100,97,110,90,60,52,44,45,15,NA,NA,NA
"131","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-24 01:00:00,"Kluane",147,160,120,115,120,80,53,52,49,56,NA,NA,NA
"132","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-24 01:00:00,"Kluane",128,171,118,95,145,125,50,48,53,40,NA,NA,NA
"133","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-24 01:00:00,"Kluane",151,173,178,130,165,100,47,41,49,60,NA,NA,NA
"134","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-24 01:00:00,"Kluane",141,135,141,120,130,115,47,48,50,50,NA,NA,NA
"135","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-24 01:00:00,"Kluane",154,191,196,150,200,195,50,45,54,41,NA,NA,NA
"136","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-24 01:00:00,"Kluane",149,236,249,47,63,130,49,55,48,170,NA,NA,NA
"137","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-24 01:00:00,"Kluane",171,161,142,260,290,345,55,61,60,40,NA,NA,NA
"138","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-24 01:00:00,"Kluane",172,236,240,140,129,73,61,52,40,58,NA,NA,NA
"139","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-24 01:00:00,"Kluane",84.5,64,72,49,25,24,36,42,39,25,NA,NA,NA
"140","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-24 01:00:00,"Kluane",118,191,152,55,140,140,65,63,66,35,NA,NA,NA
"141","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-07-24 01:00:00,"Kluane",6.1,NA,NA,24,11,10,35,32,22,5,3,6,NA
"142","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-07-24 01:00:00,"Kluane",7.2,NA,NA,32,29,19,38,34,39,4,2,4,NA
"143","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,14,18,12,22,30,23,6,3,4,NA
"144","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-07-24 01:00:00,"Kluane",8,NA,NA,20,15,10,43,33,35,4,6,3,NA
"145","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-07-24 01:00:00,"Kluane",4.6,NA,NA,12,18,20,35,31,25,3,5,4,NA
"146","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-07-24 01:00:00,"Kluane",9,NA,NA,16,12,11,46,35,31,6,2,5,NA
"147","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-07-24 01:00:00,"Kluane",7,NA,NA,14,12,7,38,31,26,4,3,3,NA
"148","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,18,13,9,25,32,19,4,4,6,NA
"149","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-07-24 01:00:00,"Kluane",6,NA,NA,15,10,25,32,37,32,3,7,5,NA
"150","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,20,15,11,41,27,40,4,5,2,NA
