"","SampleYear","Site","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Species","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong"
"1",2022,"Kluane",195,"KPSP01",285,168,"Salix pulchra",47,23,44,38
"2",2022,"Kluane",152,"KPSP02",118,98,"Salix pulchra",132,111,124,122.333333333333
"3",2022,"Kluane",155,"KPSP03",125,220,"Salix pulchra",66,104,160,110
"4",2022,"Kluane",174,"KPSP04",179,130,"Salix pulchra",86,106,85,92.3333333333333
"5",2022,"Kluane",176,"KPSP05",286,255,"Salix pulchra",102,76,107,95
"6",2022,"Kluane",177,"KPSP06",153,190,"Salix pulchra",95,70,77,80.6666666666667
"7",2022,"Kluane",83,"KPSP07",99,123,"Salix pulchra",33,105,104,80.6666666666667
"8",2022,"Kluane",123,"KPSP08",167,175,"Salix pulchra",50,28,57,45
"9",2022,"Kluane",157,"KPSP09",203,145,"Salix pulchra",55,124,141,106.666666666667
"10",2022,"Kluane",66,"KPSP10",96,107,"Salix pulchra",34,35,19,29.3333333333333
"11",2022,"Kluane",143,"KPSR01",154,109,"Salix richardsonii",46,54,86,62
"12",2022,"Kluane",125.5,"KPSR02",110,164,"Salix richardsonii",51,82,75,69.3333333333333
"13",2022,"Kluane",145,"KPSR03",200,154,"Salix richardsonii",75,60,46,60.3333333333333
"14",2022,"Kluane",140,"KPSR04",139,144,"Salix richardsonii",108,160,155,141
"15",2022,"Kluane",155.2,"KPSR05",171,184,"Salix richardsonii",80,137,170,129
"16",2022,"Kluane",132,"KPSR06",236,242,"Salix richardsonii",120,138,160,139.333333333333
"17",2022,"Kluane",159,"KPSR07",163,173,"Salix richardsonii",141,124,75,113.333333333333
"18",2022,"Kluane",171,"KPSR08",245,221,"Salix richardsonii",80,45,100,75
"19",2022,"Kluane",84.5,"KPSR09",81,73,"Salix richardsonii",37,47,31,38.3333333333333
"20",2022,"Kluane",113,"KPSR10",210,147,"Salix richardsonii",94,136,95,108.333333333333
"21",2022,"Qikiqtaruk",19,"HESP01",29.5,23,"Salix pulchra",9,14,8,10.3333333333333
"22",2022,"Qikiqtaruk",14.5,"HESP02",16,11.5,"Salix pulchra",21,11,16,16
"23",2022,"Qikiqtaruk",24,"HESP03",36,18,"Salix pulchra",24,14,23,20.3333333333333
"24",2022,"Qikiqtaruk",16.4,"HESP04",21,12.6,"Salix pulchra",26,19,43,29.3333333333333
"25",2022,"Qikiqtaruk",16.2,"HESP05",27.5,9.4,"Salix pulchra",54,31,27,37.3333333333333
"26",2022,"Qikiqtaruk",16.1,"HESP06",18.5,5.2,"Salix pulchra",13,34,20,22.3333333333333
"27",2022,"Qikiqtaruk",26.5,"HESR01",93.7,78.1,"Salix richardsonii",88,34,38,53.3333333333333
"28",2022,"Qikiqtaruk",23.2,"HESR02",88.2,93.4,"Salix richardsonii",27,32,34,31
"29",2022,"Qikiqtaruk",23.8,"HESR03",58.3,60.9,"Salix richardsonii",84,59,86,76.3333333333333
"30",2022,"Qikiqtaruk",31.3,"HESR04",130.3,92.1,"Salix richardsonii",35,28,41,34.6666666666667
"31",2022,"Qikiqtaruk",27.2,"HESR05",63,61.5,"Salix richardsonii",32,31,24,29
"32",2022,"Qikiqtaruk",61,"HESR06",157,105,"Salix richardsonii",66,78,72,72
"33",2022,"Qikiqtaruk",36.7,"HESR07",284,314,"Salix richardsonii",39,28,37,34.6666666666667
"34",2022,"Qikiqtaruk",19.4,"HESR08",44,15,"Salix richardsonii",44,18,7,23
"35",2022,"Qikiqtaruk",23.2,"HESR09",207,114,"Salix richardsonii",22,23,32,25.6666666666667
"36",2022,"Qikiqtaruk",24.5,"HESR10",84,79,"Salix richardsonii",16,22,15,17.6666666666667
"37",2022,"Qikiqtaruk",4.5,"HESA01",3.9,2,"Salix arctica",14,21,11,15.3333333333333
"38",2022,"Qikiqtaruk",6.4,"HESA02",5,3.4,"Salix arctica",38,43,31,37.3333333333333
"39",2022,"Qikiqtaruk",4.2,"HESA03",1.5,1.4,"Salix arctica",12,13,15,13.3333333333333
"40",2022,"Qikiqtaruk",5.6,"HESA04",8,4.1,"Salix arctica",24,22,11,19
"41",2022,"Qikiqtaruk",4,"HESA05",4.4,2.7,"Salix arctica",10,7,18,11.6666666666667
"42",2022,"Qikiqtaruk",6.4,"HESA06",3.1,2.6,"Salix arctica",14,16,9,13
"43",2022,"Qikiqtaruk",7.4,"HESA07",6.5,4.9,"Salix arctica",10,14,9,11
"44",2022,"Qikiqtaruk",10.2,"HESA08",33,6.4,"Salix arctica",27,19,22,22.6666666666667
"45",2022,"Qikiqtaruk",9.1,"HESA09",6.9,4.1,"Salix arctica",14,5,12,10.3333333333333
"46",2022,"Qikiqtaruk",6.5,"HESA10",15,7.2,"Salix arctica",18,12,15,15
"47",2022,"Qikiqtaruk",24.5,"HESP07",29,23.5,"Salix pulchra",47,22,18,29
"48",2022,"Qikiqtaruk",10.3,"HESP08",21.5,16.2,"Salix pulchra",26,16,14,18.6666666666667
"49",2022,"Qikiqtaruk",13.1,"HESP09",27.6,17.6,"Salix pulchra",33,32,18,27.6666666666667
"50",2022,"Qikiqtaruk",25.8,"HESP10",49.5,22.1,"Salix pulchra",22,20,33,25
"51",2017,"Kluane",84,"KP17SP1",113,123,"Salix pulchra",51,97,86,78
"52",2017,"Kluane",49,"KP17SP3",55,42,"Salix pulchra",59,59,45,54.3333333333333
"53",2017,"Kluane",54,"KP17SP4",184,202,"Salix pulchra",48,22,45,38.3333333333333
"54",2017,"Kluane",68,"KP17SP5",115,84,"Salix pulchra",90,58,102,83.3333333333333
"55",2017,"Kluane",108,"KP17SR1",233,182,"Salix richardsonii",68,52,66,62
"56",2017,"Kluane",44,"KP17SR3",113,115,"Salix richardsonii",51,62,89,67.3333333333333
"57",2017,"Kluane",106,"KP17SR5",182,154,"Salix richardsonii",57,71,82,70
"58",2017,"Kluane",4.8,"KP17SA1",16,16,"Salix arctica",NA,NA,NA,NA
"59",2017,"Kluane",5,"KP17SA2",35,41,"Salix arctica",NA,NA,NA,NA
"60",2017,"Kluane",3,"KP17SA3",28,19,"Salix arctica",NA,NA,NA,NA
"61",2017,"Kluane",5,"KP17SA4",57,42,"Salix arctica",NA,NA,NA,NA
"62",2017,"Kluane",5,"KP17SA5",29,25,"Salix arctica",NA,NA,NA,NA
"63",2017,"Kluane",10,"KP17SA6",23,11,"Salix arctica",NA,NA,NA,NA
"64",2017,"Kluane",4,"KP17SA7",45,32,"Salix arctica",NA,NA,NA,NA
"65",2017,"Kluane",6,"KP17SA8",61,27,"Salix arctica",NA,NA,NA,NA
"66",2017,"Kluane",4,"KP17SA9",45,43,"Salix arctica",NA,NA,NA,NA
"67",2017,"Kluane",5,"KP17SA10",44,47,"Salix arctica",NA,NA,NA,NA
"68",2017,"Kluane",38.8,"PC17SR1",47,24,"Salix richardsonii",75,70,60,68.3333333333333
"69",2017,"Kluane",55,"PC17SR3",68,69,"Salix richardsonii",45,38,61,48
"70",2017,"Kluane",31,"PC17SR4",45,36,"Salix richardsonii",48,32,33,37.6666666666667
"71",2017,"Kluane",66,"PC17SR5",112,96,"Salix richardsonii",37,39,50,42
"72",2017,"Kluane",56,"PC17SR6",128,52,"Salix richardsonii",65,60,70,65
"73",2017,"Kluane",64,"PC17SR7",157,137,"Salix richardsonii",135,84,113,110.666666666667
"74",2017,"Kluane",64,"PC17SR8",102,157,"Salix richardsonii",64,71,98,77.6666666666667
"75",2017,"Kluane",63,"PC17SR9",110,72,"Salix richardsonii",41,30,18,29.6666666666667
"76",2017,"Kluane",78,"PC17SR10",109,89,"Salix richardsonii",82,65,46,64.3333333333333
"77",2017,"Kluane",80,"PC17SR11",120,171,"Salix richardsonii",73,83,87,81
"78",2017,"Kluane",41,"PC17SR12",45,60,"Salix richardsonii",36,90,51,59
"79",2017,"Kluane",77,"PC17SR13",136,65,"Salix richardsonii",52,45,71,56
"80",2017,"Kluane",97,"PC17SR14",145,109,"Salix richardsonii",156,100,85,113.666666666667
"81",2017,"Kluane",109,"PC17SR15",242,224,"Salix richardsonii",84,57,66,69
"82",2017,"Kluane",81,"PP17SR16",137,121,"Salix richardsonii",45,59,57,53.6666666666667
"83",2017,"Kluane",78.5,"PP17SR17",154,150,"Salix richardsonii",55,50,35,46.6666666666667
"84",2017,"Kluane",52,"PP17SR18",102,43,"Salix richardsonii",57,51,65,57.6666666666667
"85",2017,"Kluane",45,"PP17SR19",66,46,"Salix richardsonii",30,37,34,33.6666666666667
"86",2017,"Kluane",37,"PP17SR20",32,30,"Salix richardsonii",40,31,22,31
"87",2017,"Kluane",28,"PC17SP2",226,191,"Salix pulchra",26,26,24,25.3333333333333
"88",2017,"Kluane",81,"PC17SP4",256,191,"Salix pulchra",62,75,107,81.3333333333333
"89",2017,"Kluane",33,"PC17SP5",190,137,"Salix pulchra",45,43,25,37.6666666666667
"90",2017,"Kluane",49,"PC17SP6",149,91,"Salix pulchra",46,74,40,53.3333333333333
"91",2017,"Kluane",122,"PC17SP7",211,209,"Salix pulchra",144,128,163,145
"92",2017,"Kluane",83,"PC17SP9",222,131,"Salix pulchra",56,64,51,57
"93",2017,"Kluane",22,"PC17SP10",62,51,"Salix pulchra",57,50,50,52.3333333333333
"94",2017,"Kluane",90,"PP17SP11",107,128,"Salix pulchra",98,106,86,96.6666666666667
"95",2017,"Kluane",58,"PP17SP13",174,52,"Salix pulchra",46,44,42,44
"96",2017,"Kluane",74,"PP17SP14",148,137,"Salix pulchra",34,65,42,47
"97",2017,"Kluane",47,"PP17SP15",225,205,"Salix pulchra",43,77,80,66.6666666666667
"98",2017,"Kluane",3.5,"PC17SA3",53,42,"Salix arctica",NA,NA,NA,NA
"99",2017,"Kluane",5,"PC17SA7",46,52,"Salix arctica",NA,NA,NA,NA
"100",2017,"Kluane",6,"PC17SA8",34,66,"Salix arctica",NA,NA,NA,NA
"101",2017,"Kluane",93,"KP17SR8",157,83,"Salix richardsonii",62,67,116,81.6666666666667
"102",2017,"Kluane",57,"KP17SR9",52,57,"Salix richardsonii",74,44,49,55.6666666666667
"103",2017,"Kluane",86,"KP17SR10",200,201,"Salix richardsonii",75,63,71,69.6666666666667
"104",2017,"Kluane",65,"KP17SR11",156,133,"Salix richardsonii",193,97,81,123.666666666667
"105",2017,"Kluane",64,"KP17SR12",209,199,"Salix richardsonii",61,84,92,79
"106",2017,"Kluane",42,"KP17SR14",65,32,"Salix richardsonii",36,48,49,44.3333333333333
"107",2017,"Kluane",77,"KP17SR15",182,155,"Salix richardsonii",73,62,77,70.6666666666667
"108",2017,"Kluane",36,"KP17SP6",103,67,"Salix pulchra",42,18,28,29.3333333333333
"109",2017,"Kluane",58,"KP17SP7",47,30,"Salix pulchra",86,45,35,55.3333333333333
"110",2017,"Kluane",67,"KP17SP8",173,134,"Salix pulchra",55,39,61,51.6666666666667
"111",2017,"Kluane",25,"KP17SP10",165,122,"Salix pulchra",36,38,30,34.6666666666667
"112",2017,"Kluane",65,"KP17SP11",156,148,"Salix pulchra",56,41,63,53.3333333333333
"113",2017,"Kluane",85,"KP17SP12",185,151,"Salix pulchra",138,155,123,138.666666666667
"114",2017,"Kluane",74,"KP17SP15",182,142,"Salix pulchra",74,50,43,55.6666666666667
"115",2017,"Qikiqtaruk",29.5,"H17SP1",152,79,"Salix pulchra",31,27,26,28
"116",2017,"Qikiqtaruk",26.5,"H17SP2",131,164,"Salix pulchra",38,19,16,24.3333333333333
"117",2017,"Qikiqtaruk",28,"H17SP3",213,126,"Salix pulchra",49,40,29,39.3333333333333
"118",2017,"Qikiqtaruk",30.4,"H17SP4",204,118,"Salix pulchra",50,38,35,41
"119",2017,"Qikiqtaruk",26.5,"H17SP6",283,112,"Salix pulchra",26,26,27,26.3333333333333
"120",2017,"Qikiqtaruk",22,"H17SP7",164,77,"Salix pulchra",23,35,24,27.3333333333333
"121",2017,"Qikiqtaruk",36,"H17SP8",262,190,"Salix pulchra",35,38,29,34
"122",2017,"Qikiqtaruk",29,"H17SP9",184,143,"Salix pulchra",57,31,56,48
"123",2017,"Qikiqtaruk",29,"H17SP10",225,107,"Salix pulchra",18,30,30,26
"124",2017,"Qikiqtaruk",24,"H17SP11",197,144,"Salix pulchra",26,19,33,26
"125",2017,"Qikiqtaruk",26.5,"H17SP12",118,68,"Salix pulchra",17,17,18,17.3333333333333
"126",2017,"Qikiqtaruk",25,"H17SP13",138,108,"Salix pulchra",30,21,19,23.3333333333333
"127",2017,"Qikiqtaruk",30,"H17SP14",289,185,"Salix pulchra",27,27,25,26.3333333333333
"128",2017,"Qikiqtaruk",29,"H17SP15",175,175,"Salix pulchra",25,33,36,31.3333333333333
"129",2017,"Qikiqtaruk",28,"H17SP16",52,93,"Salix pulchra",40,22,37,33
"130",2017,"Qikiqtaruk",28,"H17SP17",112,88,"Salix pulchra",53,64,63,60
"131",2017,"Qikiqtaruk",23,"H17SP18",162,128,"Salix pulchra",109,53,32,64.6666666666667
"132",2017,"Qikiqtaruk",18,"H17SP19",215,143,"Salix pulchra",32,41,33,35.3333333333333
"133",2017,"Qikiqtaruk",29,"H17SP20",195,122,"Salix pulchra",22,17,20,19.6666666666667
"134",2017,"Qikiqtaruk",38,"H17SR1",245,169,"Salix richardsonii",24,30,23,25.6666666666667
"135",2017,"Qikiqtaruk",23,"H17SR2",204,165,"Salix richardsonii",26,15,23,21.3333333333333
"136",2017,"Qikiqtaruk",27,"H17SR3",152,132,"Salix richardsonii",38,32,15,28.3333333333333
"137",2017,"Qikiqtaruk",49,"H17SR4",NA,NA,"Salix richardsonii",33,29,32,31.3333333333333
"138",2017,"Qikiqtaruk",27,"H17SR5",500,425,"Salix richardsonii",24,17,21,20.6666666666667
"139",2017,"Qikiqtaruk",23,"H17SR6",192,167,"Salix richardsonii",21,22,31,24.6666666666667
"140",2017,"Qikiqtaruk",34,"H17SR7",184,132,"Salix richardsonii",24,26,25,25
"141",2017,"Qikiqtaruk",32,"H17SR8",305,195,"Salix richardsonii",27,21,25,24.3333333333333
"142",2017,"Qikiqtaruk",56,"H17SR9",NA,NA,"Salix richardsonii",34,41,30,35
"143",2017,"Qikiqtaruk",42,"H17SR10",186,154,"Salix richardsonii",22,17,36,25
"144",2017,"Qikiqtaruk",67,"H17SR11",NA,412,"Salix richardsonii",58,34,47,46.3333333333333
"145",2017,"Qikiqtaruk",54,"H17SR12",208,176,"Salix richardsonii",20,17,35,24
"146",2017,"Qikiqtaruk",35,"H17SR13",261,174,"Salix richardsonii",40,29,36,35
"147",2017,"Qikiqtaruk",24,"H17SR14",228,211,"Salix richardsonii",33,24,11,22.6666666666667
"148",2017,"Qikiqtaruk",38,"H17SR15",300,219,"Salix richardsonii",32,37,21,30
"149",2017,"Qikiqtaruk",59,"H17SR16",216,285,"Salix richardsonii",45,34,37,38.6666666666667
"150",2017,"Qikiqtaruk",48,"H17SR17",208,159,"Salix richardsonii",57,52,45,51.3333333333333
"151",2017,"Qikiqtaruk",72,"H17SR18",NA,NA,"Salix richardsonii",32,26,15,24.3333333333333
"152",2017,"Qikiqtaruk",43,"H17SR19",148,153,"Salix richardsonii",16,30,27,24.3333333333333
"153",2017,"Qikiqtaruk",55,"H17SR20",212,196,"Salix richardsonii",22,31,29,27.3333333333333
"154",2017,"Qikiqtaruk",52.5,"H17SR21",482,402,"Salix richardsonii",46,36,32,38
"155",2017,"Qikiqtaruk",48,"H17SR22",321,307,"Salix richardsonii",21,20,26,22.3333333333333
"156",2017,"Qikiqtaruk",46.5,"H17SR35",392,339,"Salix richardsonii",110,78,111,99.6666666666667
"157",2017,"Qikiqtaruk",41,"H17SR36",134,117,"Salix richardsonii",250,221,88,186.333333333333
"158",2017,"Qikiqtaruk",57,"H17SR37",178,139,"Salix richardsonii",92,53,70,71.6666666666667
"159",2017,"Qikiqtaruk",36,"H17SR39",128,123,"Salix richardsonii",48,30,44,40.6666666666667
"160",2017,"Qikiqtaruk",32,"H17SR40",151,124,"Salix richardsonii",24,28,24,25.3333333333333
"161",2016,"Kluane",148,"PC16PVSR1",147,103,"Salix richardsonii",NA,NA,NA,NA
"162",2016,"Kluane",124,"PC16PVSR2",154,117,"Salix richardsonii",NA,NA,NA,NA
"163",2016,"Kluane",22,"PC16PVSR3",46,62,"Salix richardsonii",NA,NA,NA,NA
"164",2016,"Kluane",174,"PC16PVSR4",183,226,"Salix richardsonii",NA,NA,NA,NA
"165",2016,"Kluane",100,"PC16PVSR5",224,137,"Salix richardsonii",NA,NA,NA,NA
"166",2016,"Kluane",108,"PC16PVSR6",215,152,"Salix richardsonii",NA,NA,NA,NA
"167",2016,"Kluane",81,"PC16PVSR7",222,108,"Salix richardsonii",NA,NA,NA,NA
"168",2016,"Kluane",76,"PC16PVSR8",235,154,"Salix richardsonii",NA,NA,NA,NA
"169",2016,"Kluane",143,"PC16PVSP1",68,163,"Salix pulchra",NA,NA,NA,NA
"170",2016,"Kluane",87,"PC16PVSP2",174,185,"Salix pulchra",NA,NA,NA,NA
"171",2016,"Kluane",109,"PC16PVSP3",44,153,"Salix pulchra",NA,NA,NA,NA
"172",2016,"Kluane",40,"PC16PVSP4",389,152,"Salix pulchra",NA,NA,NA,NA
"173",2016,"Kluane",86,"PC16PVSP5",214,236,"Salix pulchra",NA,NA,NA,NA
"174",2016,"Kluane",78,"PC16PVSP6",209,223,"Salix pulchra",NA,NA,NA,NA
"175",2016,"Kluane",67,"PC16PVSP7",168,152,"Salix pulchra",NA,NA,NA,NA
"176",2016,"Kluane",63,"PC16PVSP8",139,99,"Salix pulchra",NA,NA,NA,NA
"177",2016,"Kluane",94,"PC16PVSP9",123,143,"Salix pulchra",NA,NA,NA,NA
"178",2016,"Kluane",51,"PC16PVSP10",116,72,"Salix pulchra",NA,NA,NA,NA
"179",2016,"Kluane",12,"PC16PVSA1",45,18,"Salix arctica",NA,NA,NA,NA
"180",2016,"Kluane",111,"PC16CWSR1",330,328,"Salix richardsonii",NA,NA,NA,NA
"181",2016,"Kluane",96,"PC16CWSR2",160,131,"Salix richardsonii",NA,NA,NA,NA
"182",2016,"Kluane",83,"PC16CWSR3",174,112,"Salix richardsonii",NA,NA,NA,NA
"183",2016,"Kluane",47,"PC16CWSR4",32,36,"Salix richardsonii",NA,NA,NA,NA
"184",2016,"Kluane",38,"PC16CWSR5",102,58,"Salix richardsonii",NA,NA,NA,NA
"185",2016,"Kluane",64,"PC16CWSR7",111,68,"Salix richardsonii",NA,NA,NA,NA
"186",2016,"Kluane",52,"PC16CWSR8",41,32,"Salix richardsonii",NA,NA,NA,NA
"187",2016,"Kluane",83,"PC16CWSP2",213,256,"Salix pulchra",NA,NA,NA,NA
"188",2016,"Kluane",56,"PC16CWSP3",183,171,"Salix pulchra",NA,NA,NA,NA
"189",2016,"Kluane",67,"PC16CWSP4",242,205,"Salix pulchra",NA,NA,NA,NA
"190",2016,"Kluane",24,"PC16CWSP6",257,156,"Salix pulchra",NA,NA,NA,NA
"191",2016,"Kluane",64,"PC16CWSP7",111,68,"Salix pulchra",NA,NA,NA,NA
"192",2016,"Kluane",60,"PC16CWSP9",117,81,"Salix pulchra",NA,NA,NA,NA
"193",2016,"Kluane",51,"PC16CWSP10",124,96,"Salix pulchra",NA,NA,NA,NA
"194",2016,"Kluane",75,"PC16CESR1",181,197,"Salix richardsonii",NA,NA,NA,NA
"195",2016,"Kluane",67,"PC16CESR2",138,148,"Salix richardsonii",NA,NA,NA,NA
"196",2016,"Kluane",59,"PC16CESR3",172,178,"Salix richardsonii",NA,NA,NA,NA
"197",2016,"Kluane",46,"PC16CESR4",114,114,"Salix richardsonii",NA,NA,NA,NA
"198",2016,"Kluane",28,"PC16CESR5",28,24,"Salix richardsonii",NA,NA,NA,NA
"199",2016,"Kluane",42,"PC16CESR6",41,34,"Salix richardsonii",NA,NA,NA,NA
"200",2016,"Kluane",32,"PC16CESR7",35,33,"Salix richardsonii",NA,NA,NA,NA
