PLOT,Year,Site,Observer,NOTES,Plants_first_visible_through_snow,Snow_Free_Melt_Date,First_snow_free_day,First_snow_return_day _end_of_season,50_snow_coverge_end_of_season,100_snow_coverage_end_of_season,First_leaf_bud_burst,50_Leaves_Green,100_Leaves_Green,First_yellow_leaf,50_Leaves_Yellow,100_Leaves_Yellow,Species,First_Leaf_Bud_Burst,First_Yellowing_of_Leaves,Last_Leaf_Turns_Yellow
QHI_1,2019,QHI,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,NA,NA,08/06/2019,NA,NA,NA,NA,NA,04/07/2019,16/07/2019,NA,NA,ARC,NA,25/07/2019,NA
QHI_2,2019,QHI,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,08/06/2019,NA,NA,NA,NA,NA,NA,24/07/2019,NA,NA,ARC,NA,NA,NA
QHI_3,2019,QHI,Elise Gallois,,NA,NA,08/06/2019,NA,NA,NA,NA,NA,NA,31/07/2019,NA,NA,,,,
QHI_6,2019,QHI,Elise Gallois,,NA,NA,01/06/2019,NA,NA,NA,NA,NA,02/07/2019,28/07/2019,NA,NA,,,,
QHI_14 (prev called Phenocam 4),2019,QHI,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug -  no phenophases can be noted",NA,NA,14/06/2019,NA,NA,NA,14/06/2019,NA,03/07/2019,27/07/2019,NA,NA,RICH,NA,NA,NA
QHI_1,2018,QHI,Elise Gallois,,03/06/2018,07/06/2018,11/06/2018,NA,NA,NA,18/06/2018,29/06/2018,12/07/2018,NA,NA,NA,ARC,24/06/2018,NA,NA
QHI_2,2018,QHI,Elise Gallois,"Gap 15th-21st July, ends 9th August",NA,NA,14/06/2018,NA,NA,NA,16/06/2018,28/06/2018,08/07/2018,03/08/2018,NA,NA,ARC,NA,NA,NA
QHI_3,2018,QHI,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,04/06/2018,12/06/2018,14/06/2018,,,,17/06/2018,02/07/2018,19/07/2018,01/08/2018,NA,NA,PUL,25/06/2018,NA,NA
QHI_14 (prev called Phenocam 4),2018,QHI,Elise Gallois,Very limited selection - 12 Jun to 11 July,NA,02/07/2018,21/06/2018,30/08/2018,07/10/2018,NA,24/06/2018,01/07/2018,NA,NA,24/08/2018,18/09/2018,RICH,26/06/2018,NA,NA
QHI_5,2018,QHI,Elise Gallois,,NA,NA,14/06/2018,NA,NA,NA,16/06/2018,02/07/2018,12/07/2018,NA,NA,NA,ARC,NA,NA,NA
QHI_6,2018,QHI,Elise Gallois,Big gap between 5th July and 12th August,02/06/2018,12/06/2018,14/06/2018,02/09/2018,04/10/2018,11/10/2018,15/06/2018,01/07/2018,09/07/2018,NA,02/09/2018,22/09/2018,PUL,24/06/2018,16/08/2018,11/09/2018
QHI_1,2017,QHI,Elise Gallois,,NA,27/05/2017,30/05/2017,NA,NA,NA,13/06/2017,21/06/2017,05/07/2017,01/08/2017,20/08/2017,NA,ARC,17/06/2017,30/07/2017,04/09/2017
QHI_2,2017,QHI,Elise Gallois,"Gaps from 4th June - 11th June, 16th June - 7th Aug",NA,NA,30/05/2017,NA,NA,NA,07/06/2017,22/06/2017,NA,01/08/2017,NA,NA,ARC,11/06/2017,09/08/2017,NA
QHI_3,2017,QHI,Elise Gallois,Gaps from17th July - 01 August,03/05/2017(pre set up),16/05/2017,19/05/2017,NA,NA,NA,NA,NA,NA,21/07/2017,14/08/2017,11/09/2023,PUL,18/06/2017,09/08/2017,03/09/2017
QHI_14 (prev called Phenocam 4),2017,QHI,Elise Gallois,"Limited selection (10th July to 9th August), Gaps from 10th-20th July, 20th July-2nd August",NA,04/06/2017,08/06/2017,NA,NA,NA,11/06/2017,25/06/2017,06/07/2017,03/08/2017,25/08/2017,NA,RICH,NA,05/08/2017,NA
QHI_5,2017,QHI,Elise Gallois,Gaps between 6th-15th June as phenocam knocked down,04/05/2017 (pre set up),15/05/2017,28/05/2017,NA,NA,NA,06/06/2017,23/06/2017,05/07/2017,01/08/2017,24/08/2017,NA,ARC,16/06/2017,09/08/2017,NA
QHI_6,2017,QHI,Elise Gallois,Gaps between 27th June - 25th July,04/05/2017 (pre set up),17/05/2017,19/05/2017,NA,NA,NA,07/06/2017,19/06/2017,05/07/2017,23/07/2017,24/08/2017,NA,PUL,10/06/2017,26/07/2017,24/08/2017
QHI_1,2016,QHI,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,06/06/2016,NA,NA,NA,NA,21/06/2016,07/07/2016,20/07/2016,23/08/2016,NA,ARC,NA,29/07/2016,NA
QHI_2,2016,QHI,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,06/06/2016,NA,NA,NA,NA,NA,NA,29/07/2016,NA,NA,ARC,NA,29/07/2016,NA
QHI_3,2016,QHI,Elise Gallois,"Limited selection (5th July to 12th August), Gaps from 8th July - 28th August",NA,NA,06/06/2016,NA,NA,NA,NA,27/06/2016,10/07/2016,28/07/2016,18/08/2016,NA,PUL,NA,NA,NA
QHI_14 (prev called Phenocam 4),2016,QHI,Elise Gallois,"Limited selection (14th July - 31st Aug), gap between 18th - 28th jul",NA,25/06/2016,12/06/2016,NA,NA,NA,NA,20/06/2016,05/07/2016,27/07/2016,18/08/2016,NA,RICH,NA,NA,28/08/2016
QHI_5,2016,QHI,Elise Gallois,"Limited selection (23rd July - 26th Aug), gaps 29th July-28th Aug",NA,NA,06/06/2016,NA,NA,NA,NA,21/06/2016,08/07/2016,28/07/2016,19/08/2016,NA,ARC,NA,29/07/2016,26/08/2016
QHI_6,2016,QHI,Elise Gallois,"Limited selection (24th-Jul - 1st September), gaps 24th July - 16th August",NA,NA,06/06/2016,NA,NA,NA,NA,NA,09/07/2016,26/07/2016,21/08/2016,NA,PUL,NA,NA,27/08/2016
Latnja_Phenocam 1,2020,Latnjajaure,Geerte de Jong,,26/06/2020,29/06/2020,01/07/2020,NA,NA,NA,,,,,,,,25/06/2020,08/08/2016,NA
TL-01,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Only starts 3 June (fully snow free on this date) Photos labelled as 2020,NA,NA,07/06/2021,17-Aug,17-09-2021,22-09-2021,08/06/2021,14/06/2021,24/06/2021,10/07/2021,16/08/2021,24/08/2021,,,,
TL-02,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Only starts 3 June (snow free) Photos labelled as 2020,NA,NA,07/06/2021,17/08/2021,18/09/2021,23/09/2021,07/06/2021,13/06/2021,22/06/2021,24/07/2021,10/08/2021,13/09/2021,,,,
TL-03,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Limited selection 7July - 22 Oct Photos start from WSCT0819. Camera is not stable and by WSCT1850 it is facing the ground. Can't determine 100% snow as don't have full landscape view. Photos labelled as 2020,NA,NA,07/06/2021,16/08/2021,17/09/2021,NA,NA,NA,NA,12/07/2021,19/08/2022,30/08/2021,,,,
TL-04,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Starts 3 June. Photos labelled as 2020,NA,NA,12/06/2021,16/08/2021,18/09/2021,14/10/2021,08/06/2021,13/06/2021,22/06/2021,11/07/2021,12/08/2021,04/09/2021,,,,
TL-05,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Starts 3 June,NA,05/06/2021,07/06/2021,16/08/2021,18/09/2021,02/10/2021,07/06/2021,17/06/2021,27/06/2021,04/07/2021,18/08/2021,29/08/2021,,,,
TL-06,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Starts 9 June,NA,NA,07/06/2021,16/08/2021,18/09/2021,02/10/2021,11/06/2021,NA,NA,NA,NA,12/09/2021,,,,
TL-07,2021,Toolik Lake,Elise Gallois and Michelle Bastien,Limited selection 9 June - 19 August,NA,NA,16-06-2021,16/08/2021,NA,NA,09/06/2021,15/06/2021,25/06/2021,10/07/2021,13/08/2021,NA,,,,
TL-08,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,First photo 9 June then jumps to 7 July then full photos to 27 Oct,NA,NA,16-06-2021,16-08-2021,17/09/2021,2/10/2021,NA,NA,NA,NA,44443,44443,,,,
TL-11,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,starts 17 June,NA,NA,14/06/2021,16/08/2021,18/09/2021,2/10/2021,NA,NA,44370,44409,44418,44441,,,,
TL-12,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,17 June -21 Oct,NA,NA,14/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,44370,44373,44421,44434,,,,
TL-13,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,17 June  - 21 Oct,NA,NA,14/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,44370,44385,44427,44441,,,,
TL-14,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,17 June - 21 Oct,NA,NA,14/06/2021,16/08/2021,18/09/2021,2/10/2021,NA,27/06/2021,04/07/2021,09/07/2021,13/08/2021,26/08/2021,,,,
TL-15,2021,Toolik Lake,Lisa Pilkinton and Michelle Bastien,17 June - 19 June ; 8 July - 31 Oct (2-4th Oct no clear image),NA,NA,17/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,NA,44389,44420,44430,,,,
TL-16,2021,Toolik Lake,Lisa Pilkinton ,17 June - 21st October,NA,NA,17/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,18/06/2021,25/06/2021,04/07/2021,11/08/2021,28/08/2021,,,,
TL-17,2021,Toolik Lake,Lisa Pilkinton ,17 June-21/10/2021,NA,NA,17/06/2021,16/08/2021,18/09/2021,2/10/2021,NA,17/06/2021,27/06/2021,11/07/2021,15/08/2021,01/09/2021,,,,
TL-18,2021,Toolik Lake,Lisa Pilkinton ,7/07/2021-21/10/2021,NA,NA,17/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,44390,44392,44423,44430,,,,
TL-19,2021,Toolik Lake,Lisa Pilkinton ,"17/06/2021,06/08/2021 -29/10/2021",NA,NA,17/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,44384,44399,44418,44439,,,,
TL-20,2021,Toolik Lake,Lisa Pilkinton ,17/06/2021-20/08/2021,NA,NA,09/06/2021,NA,NA,NA,NA,19/06/2021,27/06/2021,03/08/25021,15/08/2021,NA,,,,
TL-21,2021,Toolik Lake,Lisa Pilkinton ,10/07/2021-29/10/2021 (Snow snorm from 2-6th Oct. not visible cam footage),NA,NA,09/06/2021,17/08/2021,18/09/2021,2/10/2021,NA,NA,44402,44407,44419,44430,,,,
TL-22,2021,Toolik Lake,Lisa Pilkinton ,17/06/2021-29/10/2021 (not visible 2/10-5/10),NA,NA,09/06/2021,16/08/2021,18/09/2021,1/10/2021,NA,NA,44378,44427,44442,44449,,,,
TL-23,2021,Toolik Lake,Lisa Pilkinton ,17/06/2021-29/10/2021,NA,NA,09/06/2021,17/08/2021,17/09/2021,18/09/2021,NA,NA,44374,44389,44417,44438,,,,
TL-24,2021,Toolik Lake,Lisa Pilkinton ,10/07/202-29/10/2021 (non clear pics between 1-5th /10th),NA,NA,09/06/2021,17/08/2021,17/09/2021,1/10/2021,NA,NA,44389,44389,44434,44449,,,,
TL-25,2021,Toolik Lake,Lisa Pilkinton ,19/08/2021-21/10/2021,NA,NA,09/06/2021,17/08/2021,18/09/2021,23/09/2021,NA,NA,NA,44404,44425,44434,,,,
TL-01,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends august 23rd, big jump between 13th and 22nd june",NA,NA,11/06/2022,13/07/2022,NA,NA,01/06/2022,NA,28/06/2022,15/07/2022,12/08/2022,NA,,,,
TL-02,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th",NA,NA,11/06/2022,13/07/2022,09/10/2022,NA,07/06/2022,17/06/2022,05/07/2022,15/07/2022,13/08/2022,18/09/2022,,,,
TL-03,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th, jump from 21st aug to 12th sept",NA,NA,11/06/2022,13/07/2022,09/10/2022,NA,01/06/2022,16/06/2022,04/07/2022,11/07/2022,14/08/2022,17/09/2022,,,,
TL-04,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th",NA,13/06/2022,17/06/2022,13/07/2022,09/10/2022,NA,12/06/2022,18/06/2022,29/06/2022,07/07/2022,11/08/2022,04/09/2022,,,,
TL-05,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th",NA,01/06/2022,11/06/2022,13/07/2022,09/10/2022,NA,03/06/2022,17/06/2022,04/07/2022,05/07/2022,13/08/2022,03/09/2022,,,,
TL-06,2022,Toolik Lake,Elise Gallois,,,,11/06/2022,,,,,,,,,,,,,
TL-07,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th",,27/05/2022,11/06/2022,12/07/2022,08/10/2022,10/10/2022,04/06/2022,17/06/2022,05/07/2022,08/07/2022,05/08/2022,27/08/2022,,,,
TL-08,2022,Toolik Lake,Elise Gallois,"starts may 25th, cuts from may 27th to sep 3rd",NA,NA,11/06/2022,NA,09/10/2022,NA,NA,NA,NA,NA,NA,11/09/2022,,,,
TL-11,2022,Toolik Lake,Elise Gallois,"starts may 27th, ends may 29th",NA,NA,11/06/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
TL-16,2022,Toolik Lake,Elise Gallois,"starts may 25th, cuts from jul 14th to sep 3rd",NA,01/06/2022,11/06/2022,NA,08/10/2022,NA,16/06/2022,20/06/2022,07/07/2022,08/07/2022,NA,04/09/2022,,,,
TL-17,2022,Toolik Lake,Elise Gallois,"starts may 25th, ends oct 13th",NA,31/05/2022,11/06/2022,NA,09/10/2022,NA,05/06/2022,17/06/2022,08/07/2022,11/07/2022,09/08/2022,17/09/2022,,,,
CRN_SN,2020,Cairngorms,Elise Gallois,DISCOUNTING EVERGREEN TREES FOR ALL! The main winter snow period starts 10th Feb - So I'm using this as my snow data,NA,07/03/2020,09/03/2020,NA,NA,NA,NA,10/03/2020,11/06/2020,04/09/2020,27/10/2020,NA,,,,
CRN_SN,2021,Cairngorms,Elise Gallois,"Starts 25th feb, missing data july to november!",NA,07/05/2021,08/05/2021,26/11/2021,29/11/2021,NA,NA,NA,44392,NA,NA,NA,,,,
CRN_SN,2022,Cairngorms,Elise Gallois,Missing some data between November to December,NA,10/04/2022,12/02/2022,NA,NA,NA,NA,25/04/2022,14/07/2022,08/09/2022,26/10/2022,NA,,,,
CRN_TL,2020,Cairngorms,Elise Gallois,"Starts 5th feb, big gap between feb and end of july",NA,NA,13/03/2020,20/11/2020,04/12/2020,29/12/2020,NA,NA,NA,44069,44132,NA,,,,
CRN_TL,2021,Cairngorms,Elise Gallois,,NA,12/03/2021,14/03/2021,26/11/2021,26/11/2021,27/11/2021,NA,22/02/2021,03/07/2021,10/08/2021,01/11/2021,NA,,,,
CRN_TL,2022,Cairngorms,Elise Gallois,,NA,10/04/2022,11/04/2022,08/12/2022,09/12/2022,11/12/2022,NA,16/03/2022,15/07/2022,05/08/2022,11/10/2022,NA,,,,
CRN_Snowcam,2020,Cairngorms,Elise Gallois,"all data are listed as DOYs annoyingly lol - I have now changed them to short dates, massive gaps betweek march and august",NA,18/03/2020,22/03/2020,04/12/2020,04/12/2020,05/12/2020,NA,NA,NA,NA,44116,NA,,,,
CRN_Snowcam,2021,Cairngorms,Elise Gallois,massive gap between mid june and mid aug,23/02/2021,17/05/2021,18/05/2021,26/11/2021,26/11/2021,27/11/2021,NA,05/06/2021,NA,25/08/2021,13/10/2021,NA,,,,
