,Plot,Year,Viewshed,NOTES,Snow_melt,All_snow_free,Snow_return_EoS,Half_snow_cover_EoS,Full_snow_cover_EoS,First_leaf_bud_burst,Half_leaves_green,All_leaves_green,First_leaf_yellow,Half_leaves_yellow,All_leaves_yellow,Salix_pulchra_bud_burst,Salix_pulchra_first_yellow,Salix_pulchra_last_yellow,Salix_rich_bud_burst,Salix_rich_first_yellow,Salix_rich_last_yellow,First_greening
1,KP1-2021,2021,"Bottom half of image : plateau, top half : mountains in distance, thin strip of sky at the top. Gradually more sky in image until camera gets covered in snow in Nov. 2021. Between December 7 and 20 viewshed shows 2/3 plateau and a branch blocking the rest of the image. From Dec. 20 on, camera blocked by snow.","photos start 24 June 2021. Early photos (in late June) show Dryas flowers in bottom right corner, but disappear from view by June 27. Unclear if viewshed moved. Gap in photos July 6 to 20? Camera knocked askew sometime between November 17 and December 7",NA,NA,Aug-28,NA,Aug-29,NA,NA,NA,Jul-20,Aug-18,Sep-14,NA,Jul-20,Sep-12,NA,NA,NA,NA
2,KP2-2021,2021,"Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Lens very cloud after 7 August 2021, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,Aug-28,NA,Aug-28,NA,NA,NA,Jul-19,Aug-23,Sep-19,NA,Jul-19,Aug-11,NA,NA,NA,NA
3,KP7-2021,2021,"Shows shrub in foreground with a bit of lake at the top. Starting August 29, shows only ground and a bit of a shrub. Covered in snow intermittently Oct.-Dec.",did not take photos at initial set up. Photos start 6 July 2021.,NA,NA,Aug-28,NA,Aug-29,NA,NA,Jul-08,Jul-18,Aug-20,Sep-20,NA,NA,NA,NA,Jul-21,Aug-27,NA
4,KP3-2021,2021,"24 June-22 July : 3/4 of image is plateau ground, top 1/4 is lake in distance. 23-28 July : image mostly shows mountain and sky in distance. From 28 July : most of image is plateau ground with a thin strip at the top showing mountain in distance.","photos start 24 June 2021. Camera covered in snow Nov. 17-Dec 7, then from Dec. 21.",NA,NA,Aug-28,NA,Sep-27,NA,NA,Jul-07,Jul-28,Aug-21,Sep-11,NA,NA,NA,NA,Jul-18,Sep-12,NA
5,KP5-2021,2021,"Starts out with plateau beign 2/3 of image and mountains in distance+sky filling the remaining 1/3. Camera angle pushed downwards 29 August, only showing plateau ground. Blocked by snow starting Oct. 1st.",Photos start July 28,NA,NA,Aug-28,NA,Aug-29,NA,NA,NA,Aug-02,Aug-21,Sep-19,NA,Aug-11,NA,NA,NA,NA,NA
6,KP9-2021,2021,"Shows shrub in foreground, a few shrubs in the background and a strip of ground in between.","from 10-20 July 2021 camera is facing the sky, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,Aug-28,NA,Sep-22,NA,NA,Jul-07,Aug-02,Aug-26,Sep-12,NA,NA,NA,NA,Jul-12,Sep-08,NA
7,KP4-2021,2021,Image consistently shows mostly plateau with a thin strip at the top showing lake and valley in distance.,did not take photos at initial set up. Photos start 6 July 2021,NA,NA,Aug-28,NA,Sep-28,NA,NA,NA,Aug-04,Aug-27,Sep-09,NA,Aug-13,Sep-03,NA,NA,NA,NA
8,KP6-2021,2021,"Until July 6, shows mostly a shrub with plateau ground. From July 6, shows a shrub in the foreground and top 1/3 of image is mountain/lake/sky. From 28 Sept., image shows ground and a lower plateau ridge. Camera under snow Nov. 15-Dec. 1 and intermittently in December.",photos start 24 June 2021,NA,26/06/2021,Aug-28,NA,Oct-03,NA,Jun-27,Jul-06,Aug-10,Aug-25,Sep-05,NA,NA,NA,NA,Aug-03,Sep-03,NA
9,KP8-2021,2021,"Image shows 2 shrubs with some ground in between and top quarter of image is lake and valley. July 8-20 camera is pointed at the ground. July 21 on the camera shows one bush in the middle, ground around and a bit of the valley at the top of the image",did not take photos at initial set up. Photos start 6 July 2021,NA,NA,Aug-28,NA,Sep-21,NA,NA,Jul-09,Aug-08,Aug-24,Sep-08,NA,NA,NA,NA,Aug-04,Sep-03,NA
10,KP1-2021,2022,Blocked by snow until June 1st. Shows only ground until June 22. Then 3/4 of image is the plateau and the top 1/4 is the valley in the distance.,Frame very crooked until June 22. Pictures end August 15th so no info on snow at end of season,18/06/2022,23/06/2022,NA,NA,NA,Jun-22,Jun-27,Jul-07,Aug-13,NA,NA,Jun-23,NA,NA,NA,NA,NA,June 22 (green lower on the plateau in the distance)
11,KP2-2021,2022,"Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Did not record Nov. 13 2021 to June 22 2022, so snowmelt data NA.",NA,NA,NA,NA,NA,NA,Jun-23,Jul-05,Aug-14,NA,NA,Jun-22,Aug-14,NA,NA,NA,NA,NA (First picture on June 22 already shows much green)
12,KP7-2021,2022,"Only shows snow (and sometimes a branch) until June 1. Then, shows ground with the bottom of a shrub at the top of the image.",NA,15/06/2022,16/06/2022,NA,NA,NA,Jun-21,Jun-26,Jul-08,Aug-02,NA,NA,NA,NA,NA,Jun-19,Aug-12,NA,June 21 (buds)
13,KP3-2021,2022,Blocked by snow until June 3rd. Image mostly shows plateau ground with a thin strip of mountainous landscape at the top.,NA,21/06/2022,NA,NA,NA,NA,Jun-24,Jun-28,Jul-08,Jul-30,NA,NA,NA,NA,NA,Jun-23,Jul-27,NA,June 24 (green on bushes in foreground)
14,KP5-2021,2022,"Blocked by snow until June 12. Camera pointed directly towards ground. Moved further away from ground on June 22; still only shows ground, just less close up.",NA,17/06/2022,18/06/2022,NA,NA,NA,Jun-19,Jun-27,Jul-09,Aug-02,Aug-15,NA,Jun-26,NA,NA,NA,NA,NA,June 19 (green blades of grass)
15,KP9-2021,2022,Only snow visible Oct 31-Jun 12. Camera pointed towards grounds.,NA,18/06/2022,19/06/2022,NA,NA,NA,Jun-22,Jun-27,Jul-05,Aug-10,NA,NA,NA,NA,NA,Jun-24,NA,NA,June 22 (green blades of grass)
16,KP4-2021,2022,"Blocked by snow until Jan. 22, then again 21-27 March and 9 April-2 June. Shows mostly plateau ground between these dates. 3-7 June, shows 1/3 plateau ground, 1/3 mountains in distance, 1/3 sky. Pointed directly at plateau ground 8-26 June.",Frame very askew 8-26 June,19/06/2022,21/06/2022,NA,NA,NA,Jun-24,Jun-28,Jul-03,Aug-15,NA,NA,Jun-24,Aug-15,NA,NA,NA,NA,"June 24 (grass starting to green, one bud in foreground)"
17,KP6-2021,2022,"Blocked by snow until Jan. 22, then again 21 March to 7 June. Bottom half is plateau and Salix sp. Shrub, top half is lake/mountain/sky",Knocked askew sometime between March 21 and June 7,26/06/2022,NA,NA,NA,NA,Jun-26,NA,NA,NA,NA,NA,NA,NA,NA,Jun-25,NA,NA,June 26 (buds)
18,KP8-2021,2022,Facing towards the ground,NA,21/06/2022,22/06/2022,NA,NA,NA,Jun-17,Jun-26,Jul-07,Aug-15,NA,NA,NA,NA,NA,Jun-27,NA,NA,June 17 (blades of green grass)